,Accuracy,Sensitivity,Specificity,F1,G-mean
460,0.6772222222000001,0.46,0.696969697,0.1919875466,0.5662131533
461,0.8458333333,0.0366666667,0.9193939394,0.037353274900000004,0.1747287455
462,0.5752777778,0.5966666667,0.5733333333,0.18973650290000002,0.5848766548000001
463,0.8816666667,0.0433333333,0.9578787879,0.0575423105,0.20344884130000002
464,0.8683333333000001,0.13,0.9354545455000001,0.1413043478,0.3487249502
465,0.8175,0.1333333333,0.8796969697,0.10728772810000001,0.3397365533
466,0.9172222222,0.0566666667,0.9954545455,0.1022659023,0.2336134629
467,0.7391666667,0.13,0.7945454545,0.0761153677,0.3190451998
468,0.9544444444,0.5266666667000001,0.9933333333000001,0.6581196581000001,0.7231718077
469,0.675,0.4666666667,0.6939393939,0.193124444,0.5690395889000001
470,0.8788888889,0.0,0.9587878788,0.0,0.0
471,0.5755555556,0.6000000000000001,0.5733333333,0.19068484260000002,0.5865125159
472,0.8816666667,0.0433333333,0.9578787879,0.0575423105,0.20344884130000002
473,0.8736111111,0.13,0.9412121212000001,0.1463424956,0.3497964686
474,0.8325,0.14,0.8954545455,0.1213102687,0.3521806219
475,0.9141666667,0.023333333300000002,0.9951515152,0.0431752507,0.15163402650000002
476,0.74,0.1633333333,0.7924242424,0.0934465453,0.3539772809
477,0.9561111111,0.5433333333,0.9936363636000001,0.673267583,0.7345867296
478,0.6725,0.47000000000000003,0.6909090909000001,0.1931244504,0.5698327609
479,0.8352777778,0.046666666700000005,0.9069696970000001,0.0450594121,0.2054528326
480,0.5580555556,0.5966666667,0.5545454545,0.1837148321,0.5752176054
481,0.8833333333000001,0.04,0.96,0.0540540541,0.19595917940000002
482,0.8711111111000001,0.13,0.9384848485,0.14391242070000002,0.3492893127
483,0.7958333333000001,0.1233333333,0.856969697,0.0904262141,0.3221202328
484,0.9116666667000001,0.07,0.9881818182000001,0.1161673262,0.2615200119
485,0.7358333333,0.1433333333,0.7896969697,0.0824610546,0.334981925
486,0.9477777778,0.52,0.9866666667,0.6239088089,0.7160372971000001
487,0.7275,0.42,0.7554545455,0.2041627999,0.5628714826
488,0.8277777778000001,0.06,0.8975757576000001,0.0544959896,0.22329035760000002
489,0.6536111111,0.5700000000000001,0.6612121212000001,0.21525875760000002,0.6139089833
490,0.8802777778,0.05,0.9557575758,0.0650783611,0.2186043668
491,0.8836111111,0.1466666667,0.9506060606000001,0.1735700197,0.3732093265
492,0.8177777778,0.14,0.8793939394,0.1126893939,0.3470770515
493,0.9144444444000001,0.08,0.9903030303,0.1344827586,0.2802751634
494,0.6975,0.17,0.7454545455,0.0851035687,0.3543002852
495,0.9652777778,0.7904761905000001,0.9883647799,0.8415591508,0.8838584565000001
496,0.6555555556,0.2785714286,0.7053459119000001,0.1585387957,0.44280446030000004
497,0.8383333333,0.32142857140000003,0.9066037736,0.3158386583,0.5380415059
498,0.3897222222,0.34523809520000004,0.3955974843,0.1165377902,0.36923618010000003
499,0.5966666667,0.3571428571,0.6283018868,0.1712328767,0.47262250100000003
500,0.8011111111,0.1357142857,0.8889937107,0.1371863431,0.3470745717
501,0.8402777778,0.1071428571,0.9371069182,0.134502924,0.3152387419
502,0.7902777778000001,0.1023809524,0.8811320755000001,0.1023518028,0.3002070874
503,0.8375,0.11428571430000001,0.9330188679,0.1409746107,0.3265435242
504,0.9625,0.7904761905000001,0.9852201258000001,0.8309781889000001,0.8824585751
505,0.7144444444,0.2619047619,0.7742138365,0.1757861635,0.44919656420000004
506,0.8388888889,0.32142857140000003,0.9072327044,0.31663963230000003,0.5382388264
507,0.3905555556,0.3523809524,0.3955974843,0.1188080685,0.3730441424
508,0.5966666667,0.3571428571,0.6283018868,0.1712328767,0.47262250100000003
509,0.7855555556,0.14047619050000001,0.8707547170000001,0.1325254163,0.349631167
510,0.8469444444,0.0404761905,0.9534591195000001,0.0577200577,0.1931653479
511,0.7727777778,0.1333333333,0.8572327044,0.1204122675,0.3380463757
512,0.8416666667,0.11428571430000001,0.9377358491000001,0.1441499677,0.3273679231
513,0.9691666667000001,0.7666666667,0.9959119497000001,0.8529901558,0.8738021299000001
514,0.7091666667000001,0.25952380950000004,0.7685534591000001,0.17171676460000002,0.44523379090000004
515,0.8319444444,0.3071428571,0.9012578616,0.2980004123,0.5248683595
516,0.42138888890000004,0.24047619050000002,0.4452830189,0.088334807,0.32676158040000003
517,0.5933333333,0.3571428571,0.6245283019,0.17012675770000002,0.47123599580000003
518,0.7836111111,0.13809523810000002,0.8688679245,0.12958998600000002,0.3463583113
519,0.8455555556000001,0.0404761905,0.9518867925000001,0.0571929825,0.1929975942
520,0.7883333333,0.1095238095,0.8779874214000001,0.107734124,0.3100637157
521,0.86,0.0428571429,0.9679245283000001,0.0666666667,0.1985745142
522,0.9680555556,0.7595238095,0.9955974843000001,0.8472775564,0.8695791708
523,0.7130555556,0.25952380950000004,0.7729559748,0.1737596954,0.4465777286
524,0.8388888889,0.3261904762,0.9066037736,0.3196409095,0.5418162118000001
525,0.4247222222,0.230952381,0.45031446540000003,0.0856587114,0.3222512139
526,0.5952777778,0.4333333333,0.6166666667,0.20003156100000002,0.5157715779000001
527,0.7877777778,0.14047619050000001,0.8732704403,0.1337378566,0.3501403789
528,0.8461111111,0.05,0.9512578616,0.0698226073,0.2124047449
529,0.7738888889000001,0.1071428571,0.8619496855000001,0.09972689500000001,0.3035911431
530,0.8269444444,0.1047619048,0.9223270440000001,0.1234567901,0.3098642569
531,0.9608333333,0.7261904762,0.9918238994,0.8118135221,0.8484270594000001
532,0.7158333333,0.25952380950000004,0.7761006289,0.1753115965,0.4480658784
533,0.8172222222000001,0.33809523810000003,0.8805031447,0.30014537900000005,0.5434618942
534,0.4388888889,0.25,0.46383647800000005,0.0941483478,0.3401961203
535,0.6261111111000001,0.34523809520000004,0.6632075472,0.1772202471,0.4774537418
536,0.7694444444,0.1785714286,0.8474842767,0.15306154360000002,0.3890198807
537,0.8536111111,0.069047619,0.9572327044000001,0.09876543210000001,0.2557248056
538,0.7833333333,0.11190476190000001,0.8720125786,0.10760154620000001,0.3123550049
539,0.7936111111,0.1285714286,0.8814465409000001,0.1257979813,0.3342505977
540,0.9683333333,0.5722222222000001,0.9891812865,0.6430303030000001,0.7518678927
541,0.8463888889000001,0.09444444440000001,0.8859649123000001,0.0574831831,0.2844173008
542,0.8838888889000001,0.0277777778,0.9289473684,0.023793724500000002,0.1588847029
543,0.7783333333,0.2388888889,0.8067251462,0.0971926624,0.4387098458
544,0.9005555556,0.011111111100000001,0.9473684211000001,0.0114942529,0.0593992012
545,0.8675,0.0555555556,0.9102339181,0.0404098716,0.22234131310000002
546,0.6336111111,0.1888888889,0.6570175439,0.049019196200000004,0.3522008499
547,0.9088888889000001,0.1611111111,0.9482456140000001,0.1501904289,0.3907238078
548,0.8736111111,0.05,0.9169590643000001,0.0380604585,0.2141212646
549,0.9675,0.5722222222000001,0.9883040936,0.6370528945,0.7515344205000001
550,0.8461111111,0.09444444440000001,0.8856725146000001,0.0574274883,0.2843826295
551,0.8836111111,0.022222222200000002,0.9289473684,0.0193236715,0.1175889472
552,0.7738888889000001,0.24444444440000002,0.801754386,0.0975355054,0.4426256289
553,0.9005555556,0.011111111100000001,0.9473684211000001,0.0114942529,0.0593992012
