Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy,Type
0.7497,0.1889,0.7792,0.0705,0.3834,0.3333,0.4841,NuSVClinear
0.7769,0.2111,0.8067,0.0869,0.4125,0.0,0.5089,NuSVClinear
0.8961,0.1667,0.9345,0.14,0.3937,0.0,0.5506,NuSVClinear
0.3736,0.5067,0.3615,0.1188,0.4279,0.6667,0.4341,NuSVClinear
0.4728,0.4733,0.4727,0.1301,0.4729,0.6667,0.473,NuSVClinear
0.4869,0.5967,0.477,0.1623,0.5334,0.5,0.5368,NuSVClinear
0.5011,0.4167,0.5088,0.1224,0.4602,0.5,0.4627,NuSVClinear
0.6478,0.3433,0.6755,0.1398,0.4816,0.5,0.5094,NuSVClinear
0.5861,0.4233,0.6009,0.1456,0.5041,1.0,0.5121,NuSVClinear
0.5128,0.5133,0.5127,0.1494,0.513,0.0,0.513,NuSVClinear
0.6072,0.4367,0.6227,0.1565,0.5214,0.3333,0.5297,NuSVClinear
0.4969,0.42,0.5039,0.1221,0.459,0.5,0.462,NuSVClinear
0.3108,0.6,0.2726,0.1689,0.4045,0.5,0.4363,NuSVClinear
0.5181,0.4976,0.5208,0.1942,0.5091,0.3333,0.5092,NuSVClinear
0.5461,0.6238,0.5358,0.2427,0.578,0.6667,0.5798,NuSVClinear
0.4739,0.4643,0.4752,0.1708,0.4697,0.5,0.4697,NuSVClinear
0.4283,0.669,0.3965,0.2145,0.515,0.6667,0.5328,NuSVClinear
0.5597,0.4214,0.578,0.1825,0.4931,0.8333,0.4997,NuSVClinear
0.66,0.4476,0.6881,0.2353,0.5544,0.5,0.5678,NuSVClinear
0.5044,0.4452,0.5123,0.1733,0.4774,0.5,0.4788,NuSVClinear
0.595,0.4452,0.6148,0.2041,0.5231,0.5,0.53,NuSVClinear
0.9514,0.0278,1.0,0.0539,0.1647,0.0,0.5139,NuSVClinear
0.8883,0.0778,0.931,0.065,0.2687,0.0,0.5044,NuSVClinear
0.9061,0.0944,0.9488,0.0914,0.2984,0.0,0.5216,NuSVClinear
0.9106,0.0278,0.957,0.0298,0.1571,0.0,0.4924,NuSVClinear
0.8528,0.1722,0.8886,0.1026,0.3817,0.0,0.5304,NuSVClinear
0.8756,0.0278,0.9202,0.0219,0.1581,0.0,0.474,NuSVClinear
0.785,0.1056,0.8208,0.0468,0.2935,0.1667,0.4632,NuSVClinear
0.9181,0.0333,0.9646,0.04,0.1466,0.0,0.499,NuSVClinear
0.8908,0.0167,0.9368,0.015,0.125,0.3333,0.4768,NuSVClinear
0.4578,0.4567,0.4579,0.1229,0.4566,0.6667,0.4573,NuSVClinear
0.4103,0.5933,0.3936,0.1435,0.4827,0.3333,0.4935,NuSVClinear
0.4664,0.5733,0.4567,0.1519,0.5117,0.5,0.515,NuSVClinear
0.6233,0.3767,0.6458,0.1429,0.4932,0.1667,0.5112,NuSVClinear
0.5922,0.44,0.6061,0.1524,0.5163,0.3333,0.523,NuSVClinear
0.4233,0.6067,0.4067,0.1492,0.4967,0.3333,0.5067,NuSVClinear
0.6256,0.3933,0.6467,0.149,0.5043,0.1667,0.52,NuSVClinear
0.4469,0.4733,0.4445,0.1249,0.4586,0.6667,0.4589,NuSVClinear
0.5764,0.5167,0.5818,0.169,0.5482,0.8333,0.5492,NuSVClinear
0.3806,0.581,0.3541,0.1796,0.4534,0.8333,0.4675,NuSVClinear
0.4686,0.6262,0.4478,0.2155,0.5292,0.6667,0.537,NuSVClinear
0.4439,0.6357,0.4186,0.2106,0.5157,1.0,0.5271,NuSVClinear
